species,dbh,condition,width,radius,ndvi_count,ndvi_mean,ndvi_median,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,file
PSME,10,Poor,20.011340914695307,10.006,3,0.518143574396769,0.499570399522781,0.0304873698255298,0.493733018636703,0.561127305030823,0.0673942863941193,street
PSME,9.8,Poor,19.764857412240083,9.882,3,0.50265575448672,0.482377707958221,0.0326097833232962,0.476924210786819,0.548665344715118,0.071741133928299,street
PSME,10,Fair,20.011340914695307,10.006,2,0.336344435811043,0.336344435811043,0.0082802027463913,0.328064233064651,0.344624638557434,0.0165604054927826,street
PSME,15.9,Poor,26.89369478420504,13.447,6,0.46840301156044,0.480015590786934,0.0481513936567328,0.395728200674057,0.525420725345612,0.129692524671555,street
PSME,11.5,Poor,21.831746909973205,10.916,4,0.417375981807709,0.395726725459099,0.0660026870400102,0.352582365274429,0.525468111038208,0.172885745763779,street
PSME,35,Fair,44.72701429452936,22.364,15,0.459108169873556,0.455632835626602,0.071474809285527,0.349798649549484,0.568988800048828,0.219190150499344,street
THPL,35.7,Fair,36.84979551717649,18.425,11,0.311657053503123,0.314605593681335,0.0346985559220789,0.248036131262779,0.36814296245575,0.12010683119297,street
THPL,4.400000000000001,Fair,11.686244558178634,5.843,1.08839241288301,0.427797109543469,0.427112460136414,0.0340319973453449,0.406576424837112,0.491303384304047,0.0847269594669342,street
PSME,27.1,Fair,38.08526564895167,19.043,12,0.464843447009722,0.472980260848999,0.056069229589493,0.36691826581955,0.538945555686951,0.172027289867401,street
THPL,6,Fair,13.813574327838005,6.907,1.5208719323262,0.536114468092471,0.536631256341934,0.024725283533365,0.491829454898834,0.557657182216644,0.0658277273178101,street
ACMA,25,Fair,47.29805567736041,23.649,18,0.566571298572752,0.588960856199265,0.0740154000033387,0.399874776601791,0.641448140144348,0.241573363542557,street
ACMA,10,Fair,28.122026440440095,14.061,6,0.56792143980662,0.571523904800415,0.0192189210280843,0.543287754058838,0.590039193630219,0.0467514395713806,street
ACMA,8,Fair,25.237588269915257,12.619,6,0.531059051553408,0.532524734735489,0.0278299087309703,0.48045352101326,0.562939167022705,0.0824856460094452,street
ACMA,11.3,Poor,29.958058644380564,14.979,8,0.506667699664831,0.516900241374969,0.059065930834653,0.391091644763947,0.584042608737946,0.192950963973999,street
ACMA,3.5,Fair,18.492352996732475,9.246,2.7253451510289,0.336499413117475,0.329286366701126,0.0729288081508399,0.235259220004082,0.447034597396851,0.211775377392769,street
ACPL,8.1,Good,24.248544627204367,12.124,5,0.501865458488464,0.52158796787262,0.0276924967186161,0.459474444389343,0.526494681835175,0.0670202374458313,street
PSME,33,Fair,43.131535670802506,21.566,14,0.411582793508257,0.412346914410591,0.0460850442060191,0.331516355276108,0.477073282003403,0.145556926727295,street
ACPL,8.1,Fair,24.248544627204367,12.124,4,0.337175816297531,0.336066201329231,0.0199873231210016,0.310464769601822,0.36610609292984,0.0556413233280182,street
PSME,13.2,Fair,23.835766476694744,11.918,4,0.432537525892258,0.43313492834568,0.0175004296111693,0.411741644144058,0.452138602733612,0.0403969585895538,street
PSME,16.3,Fair,27.334034453776656,13.667,4,0.356602132320404,0.355991035699844,0.0221586679647092,0.325973778963089,0.388452678918839,0.0624788999557495,street
PSME,30.8,Good,41.31121091937374,20.656,13,0.379935649725107,0.366834163665771,0.0311621742917451,0.332776427268982,0.431339204311371,0.0985627770423889,street
PSME,20.4,Fair,31.666621286918485,15.833,8,0.435092002153397,0.440296053886414,0.0447059329153395,0.36095979809761,0.497797071933746,0.136837273836136,street
PSME,32,Fair,42.31280894941308,21.156,14,0.423250790153231,0.437702193856239,0.0772443574513248,0.29199555516243,0.514141857624054,0.222146302461624,street
THPL,7.9,Fair,16.17188876211188,8.086,2,0.334753856062889,0.334753856062889,0.0232081264257431,0.311545729637146,0.357961982488632,0.0464162528514862,street
THPL,14.4,Fair,23.00959794092485,11.505,4,0.429593548178673,0.427579551935196,0.0142164617459702,0.411758065223694,0.451457023620605,0.0396989583969116,street
THPL,15,Good,23.555198142610983,11.778,4,0.409939736127853,0.417413294315338,0.0208515824613913,0.374959379434586,0.429972976446152,0.0550135970115662,street
ACMA,21,Fair,42.63265081153033,21.316,16,0.466658763587475,0.463774755597115,0.0553443828047351,0.336170107126236,0.550711512565613,0.214541405439377,street
ACMA,28.5,Fair,51.09234068209473,25.546,22,0.480513777245175,0.504083961248398,0.0745822318885706,0.298116266727448,0.576169848442078,0.27805358171463,street
ACMA,6.6,Fair,23.176319092508596,11.588,4,0.522564187645912,0.524527549743652,0.0258465772309521,0.485199987888336,0.556001663208008,0.0708016753196716,street
ACMA,25.9,Fair,48.2998823506899,24.15,16,0.518066512420774,0.528927057981491,0.0399167472144491,0.423049002885818,0.576169848442078,0.153120845556259,street
ACMA,22.1,Fair,43.94976527712316,21.975,17,0.483493380686816,0.492663711309433,0.0552003881010926,0.356912702322006,0.557374477386475,0.200461775064468,street
ACMA,11,Poor,29.53711395631995,14.769,7,0.367830531937735,0.373900860548019,0.0347234166004611,0.310170710086823,0.407801330089569,0.0976306200027466,street
PSME,22.4,Good,33.66516131530116,16.833,8,0.327562734484673,0.329726219177246,0.0453148132986065,0.244362324476242,0.383689671754837,0.139327347278595,street
PSME,16.5,Poor,27.55300000477188,13.777,7,0.47547915152141,0.458745062351227,0.0457460819069739,0.421916872262955,0.544108688831329,0.122191816568375,street
ACMA,24.4,Fair,46.62026838545589,23.31,18,0.465678292844031,0.476632237434387,0.0768988838026902,0.334747016429901,0.576169848442078,0.241422832012177,street
