species,dbh,condition,ndvi_count,sample_ndvi,ndvi_median,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,file,method,preds
PSME,30.3,Good,3,0.407983233531316,0.438683480024338,0.059281181870473,0.325071960687637,0.460194259881973,0.135122299194336,street,LiDAR,fair
PSME,27.1,Fair,1.392724249710322,0.462040157169862,0.459654659032822,0.039542218877409,0.377996176481247,0.505714774131775,0.127718597650528,street,LiDAR,good
PSME,11,Poor,0.835634549827634,0.483183534702299,0.461854860186577,0.052560844965441,0.395669400691986,0.51879358291626,0.123124182224274,street,LiDAR,good
PSME,27,Fair,16,0.457196114584804,0.453330904245377,0.033519978082281,0.407038062810898,0.515511274337769,0.108473211526871,street,LiDAR,good
PSME,38.4,Fair,17,0.398379399495966,0.4053053855896,0.056272647025334,0.289309322834015,0.486064255237579,0.196754932403564,street,LiDAR,fair
PSME,32.3,Fair,12,0.380567396680514,0.393984138965607,0.040472960120921,0.266649425029755,0.413149744272232,0.146500319242477,street,LiDAR,fair
ACPL,8.800000000000002,Poor,0.09284828331258,0.231043857784066,0.216018065810204,0.027679874076646,0.192771539092064,0.239264592528343,0.046493053436279,street,LiDAR,good
ACMA,18,Fair,16,0.571003986522555,0.571798294782639,0.04152388899397,0.492396622896194,0.631667375564575,0.139270752668381,street,LiDAR,good
ACPL,17.9,Fair,8,0.497740793973207,0.509760975837708,0.034552447271792,0.43323427438736,0.540599644184113,0.107365369796753,street,LiDAR,good
ACPL,17.7,Fair,14,0.52063313126564,0.535699486732483,0.064843963850274,0.388335764408112,0.600541055202484,0.212205290794373,street,LiDAR,good
THPL,31.9,Fair,9,0.417778707212872,0.420567214488983,0.046833074187856,0.337236911058426,0.47736456990242,0.140127658843994,street,LiDAR,poor
PSME,18.7,Fair,1.578420816331879,0.36189115783163,0.353109285235405,0.022456020113854,0.322025626897812,0.375314712524414,0.053289085626602,street,LiDAR,fair
THPL,6.9,Fair,0.649937983202474,0.472059800406199,0.474176377058029,0.011125032837435,0.468977153301239,0.493521809577942,0.024544656276703,street,LiDAR,poor
THPL,29.7,Fair,11,0.434500770135359,0.436210513114929,0.025931305972044,0.390361964702606,0.468977153301239,0.078615188598633,street,LiDAR,poor
THPL,17.8,Fair,10,0.466281521320343,0.471527680754662,0.021193378215093,0.429048538208008,0.492208361625671,0.063159823417664,street,LiDAR,poor
PSME,26.5,Fair,6,0.37932725250721,0.385068610310555,0.039641790910777,0.305211037397385,0.440659016370773,0.135447978973389,street,LiDAR,fair
ACPL,15.6,Fair,7,0.34868038552148,0.344108104705811,0.041343432926225,0.299263894557953,0.410786598920822,0.111522704362869,street,LiDAR,good
ACPL,21.4,Fair,14,0.480575159192085,0.499392032623291,0.046205227578418,0.380993694067001,0.538053750991821,0.15706005692482,street,LiDAR,good
THPL,16.6,Fair,26,0.517305223987653,0.522165715694427,0.042695564576619,0.43457442522049,0.573459208011627,0.138884782791138,street,LiDAR,poor
THPL,25,Fair,3,0.513491292794546,0.504801750183105,0.016621866477491,0.498920500278473,0.536751627922058,0.037831127643585,street,LiDAR,poor
ACPL,11.2,Fair,5,0.4976895570755,0.485073804855347,0.034332983724268,0.457847446203232,0.547024071216583,0.089176625013351,street,LiDAR,good
ACMA,20,Fair,8,0.577851288020611,0.582562774419785,0.03024316852807,0.53020578622818,0.610992431640625,0.080786645412445,street,LiDAR,good
ACPL,29.2,Poor,4,0.606721833348274,0.612747728824615,0.025828595857082,0.567145884037018,0.634245991706848,0.06710010766983,street,LiDAR,good
ACMA,13.3,Fair,6,0.436444575587908,0.441407412290573,0.033768724057523,0.374439656734467,0.472076922655106,0.097637265920639,street,LiDAR,poor
ACPL,30.4,Poor,8,0.527070667594671,0.537061214447021,0.029175464229831,0.469648033380508,0.563806593418121,0.094158560037613,street,LiDAR,good
THPL,30,Good,13,0.564908229387723,0.561954438686371,0.030400507132959,0.51889306306839,0.613678872585297,0.094785809516907,street,LiDAR,poor
ACPL,10.9,Fair,3,0.518173257509867,0.51462310552597,0.014143971321267,0.50290060043335,0.536996066570282,0.034095466136932,street,LiDAR,good
THPL,33.1,Good,17,0.525770104983274,0.537764847278595,0.027258659550019,0.469378978013992,0.555731296539307,0.086352318525314,street,LiDAR,poor
ACPL,28.7,Fair,15,0.563607182105382,0.582776784896851,0.055005973090495,0.428767949342728,0.628213465213776,0.199445515871048,street,LiDAR,good
PSME,40.2,Good,16,0.435452524572611,0.453955143690109,0.067867314135603,0.302002906799316,0.539008438587189,0.237005531787872,street,LiDAR,good
ACPL,9.5,Fair,3,0.483155796925227,0.500902712345123,0.029941513993296,0.440987795591354,0.507576882839203,0.066589087247849,street,LiDAR,good
THPL,23.9,Fair,4,0.29690413177013403,0.294250443577766,0.015144107625436,0.280817925930023,0.31829771399498,0.037479788064957,street,LiDAR,fair
ACPL,18.1,Fair,6,0.456641112764676,0.456225737929344,0.02704871187936,0.417979300022125,0.490776717662811,0.072797417640686,street,LiDAR,good
ACMA,7.3,Fair,2,0.457212954759598,0.457212954759598,0.010624915361404,0.446588039398193,0.467837870121002,0.021249830722809,street,LiDAR,poor
ACPL,38.9,Poor,21,0.478983894700096,0.482899218797684,0.058688005504945,0.358414113521576,0.546420812606812,0.188006699085236,street,LiDAR,good
ACPL,16.3,Fair,31,0.490360671474088,0.506967902183533,0.066461056224677,0.351031064987183,0.576969563961029,0.225938498973846,street,LiDAR,good
ACPL,6.1,Fair,0.371393133250321,0.426198360088277,0.43115571141243,0.010866939144836,0.421485394239426,0.440826028585434,0.019340634346008,street,LiDAR,good
THPL,13.6,Fair,2,0.510260909795761,0.510260909795761,0.026532202959061,0.4837287068367,0.536793112754822,0.053064405918121,street,LiDAR,poor
THPL,12.1,Fair,1.114179399765375,0.502310478702954,0.499322891235352,0.028855933257878,0.453381031751633,0.532609462738037,0.079228430986404,street,LiDAR,poor
THPL,12.7,Poor,0.557089699879085,0.305616481801816,0.301956981420517,0.019357251011207,0.294369965791702,0.341780751943588,0.047410786151886,street,LiDAR,fair
THPL,10,Fair,0.371393133250321,0.359794467687607,0.359794467687607,0,0.359794467687607,0.359794467687607,0,street,LiDAR,fair
THPL,9,Fair,2,0.305658251047134,0.305658251047134,0.043708115816116,0.261950135231018,0.349366366863251,0.087416231632233,street,LiDAR,fair
ACMA,21.1,Poor,88,0.575360172512856,0.585362493991852,0.067425476620704,0.438727080821991,0.692859351634979,0.254132270812988,street,LiDAR,good
PSME,34,Fair,19,0.530631357117703,0.529788851737976,0.011307961500127,0.508143067359924,0.558430671691895,0.05028760433197,park,LiDAR,good
ACMA,30,Poor,13,0.519477021235686,0.523513317108154,0.02585624410904,0.47142618894577,0.554611086845398,0.083184897899628,park,LiDAR,fair
THPL,16.4,Fair,2,0.534190356731415,0.534190356731415,0.004536092281342,0.529654264450073,0.538726449012756,0.009072184562683,park,LiDAR,poor
PSME,28,Fair,3,0.516519864400228,0.522904217243195,0.010760465791283,0.501364767551422,0.525290608406067,0.023925840854645,park,LiDAR,good
ACPL,15,Fair,2,0.525001227855682,0.525001227855682,0.015532433986664,0.509468793869019,0.540533661842346,0.031064867973328,park,LiDAR,good
PSME,24.4,Fair,6,0.526022106409073,0.52632337808609,0.012340715216876,0.503444790840149,0.54194176197052,0.038496971130371,park,LiDAR,good
